NAME,NK.cells,endothelial.cells,fibroblasts,macrophages,memory.B.cells,memory.CD4.T.cells,memory.CD8.T.cells,myeloid.dendritic.cells,naive.B.cells,naive.CD4.T.cells,naive.CD8.T.cells,others,regulatory.T.cells,monocytes
ENSG00000134460,0.211,0.019,0.021,0.369,0.105,0.429,0.18,0.19,0.051,0.127,0.0,0.09,1.761,0.13
ENSG00000134531,0.011,3.111,2.225,0.097,0.014,0.014,0.014,0.015,0.006,0.013,0.014,0.151,0.023,0.262
ENSG00000134533,0.0,0.024,0.237,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.045,0.0,0.0
ENSG00000134539,19.268,0.095,0.095,0.08900000000000001,0.051,0.153,4.526,0.038,0.12,0.184,0.047,0.087,0.152,0.003
ENSG00000134545,6.2120000000000015,0.02,0.016,0.037000000000000005,0.032,0.046,1.785,0.01,0.017,0.042,0.02,0.147,0.041,0.0
ENSG00000134817,0.0,1.609,0.01,0.001,0.003,0.001,0.004,0.006,0.002,0.001,0.0,0.004,0.001,0.003
ENSG00000134830,0.057,0.078,0.073,0.609,0.056,0.045,0.054000000000000006,0.092,0.04,0.035,0.026,0.024,0.039,0.0
ENSG00000134853,0.0,0.008,3.4560000000000004,0.006,0.004,0.001,0.002,0.022,0.0,0.004,0.0,0.003,0.0,0.015
ENSG00000134871,0.001,2.777,1.696,0.033,0.011,0.003,0.003,0.01,0.002,0.002,0.009000000000000001,0.121,0.002,0.02
ENSG00000135047,0.001,1.124,1.481,1.867,0.008,0.062,0.014,0.065,0.008,0.145,0.046,0.061,0.035,2.1180000000000003
ENSG00000135077,1.194,0.026,0.009000000000000001,0.7140000000000001,0.041,0.101,0.166,1.879,0.044,0.043,0.052000000000000005,0.054000000000000006,0.277,0.539
